"component_type","component_name","component_link","Airflow","Color","Connector","Controller","Flow_Direction","Inferred_","LED","Manufacturer","Noise_Level","PWM","Part_#_#","Quantity","RPM","Size","Static_Pressure"
"","Lian Li Uni Fan SL-Infinity 61.3 CFM 120 mm","https://pcpartpicker.com/product/WNbTwP/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3b","0 - 61.3 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","5V Addressable RGB","Standard","","Addressable RGB","Lian Li","0 - 29 dB","Yes","UF-SLIN120-3B; 12SLIN3B; G99.12SLIN3B.00","3-Pack","","120 mm","2.66 mmH2O"
"","Thermalright TL-M12 47.6 CFM 120 mm","https://pcpartpicker.com/product/Qg4Zxr/thermalright-tl-m12-476-cfm-120-mm-fan-tl-m12","47.6 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-M12","1","1500 RPM","120 mm","1.31 mmH2O"
"","Thermalright TL-K12 69 CFM 120 mm","https://pcpartpicker.com/product/TfRwrH/thermalright-tl-k12-69-cfm-120-mm-fan-tl-k12","69 CFM","Black","4-pin PWM","","Standard","","","Thermalright","27 dB","Yes","TL-K12","1","2150 RPM","120 mm","2.87 mmH2O"
"","Cooler Master MasterFan MF Halo 47.2 CFM 120 mm","https://pcpartpicker.com/product/nVmFf7/cooler-master-masterfan-mf120-halo-472-cfm-120-mm-fan-mfl-b2dn-18npa-r1","47.2 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Cooler Master","6 - 30 dB","Yes","MFL-B2DN-18NPA-R1","1","650 - 1800 RPM","120 mm","1.6 mmH2O"
"","ID-COOLING ZF 55.2 CFM 120 mm","https://pcpartpicker.com/product/HtZzK8/id-cooling-zf-12025-pink-552-cfm-120-mm-fan-zf-12025-pink","","Pink / White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","ID-COOLING","16.3 - 33.5 dB","Yes","ZF-12025-PINK","1","900 - 2000 RPM","120 mm","2.13 mmH2O"
"","In Win Sirius Loop ASL 50 CFM 120 mm","https://pcpartpicker.com/product/NWWfrH/in-win-sirius-loop-asl120-50-cfm-120-mm-fans-3-pack-asl120fan-3pk","50 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","Manual","Standard","","Addressable RGB","In Win","27 dB","Yes","ASL120FAN-3PK","3-Pack","500 - 1800 RPM","120 mm","1.67 mmH2O"
"","Lian Li UNI FAN P28 92 CFM 120 mm","https://pcpartpicker.com/product/gVWJ7P/lian-li-uni-fan-p28-92-cfm-120-mm-fans-3-pack-p28120-3b","44.94 - 92 CFM","Black","4-pin PWM","Manual","Standard","","","Lian Li","20.4 - 32.1 dB","Yes","P28120-3B; UF-P28120-3B; 12P28 3B; G99.12P283B.00","3-Pack","200 - 2600 RPM","120 mm","4.79 mmH2O"
"","Thermalright TL-C12CW-S X5 66.17 CFM 120 mm","https://pcpartpicker.com/product/kMqrxr/thermalright-tl-c12cw-s-x5-6617-cfm-120-mm-fans-5-pack-tl-c12cw-s-x5","66.17 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12CW-S X5","5-Pack","1550 RPM","120 mm","1.53 mmH2O"
"","be quiet! Shadow Wings 2 49.8 CFM 140 mm","https://pcpartpicker.com/product/trKcCJ/be-quiet-bl086-498-cfm-140mm-fan-bl086","49.8 CFM","Black","3-pin","","Standard","","","be quiet!","14.7 dB","No","BL086","1","900 RPM","140 mm","0.58 mmH2O"
"","Thermalright TL-S12W 47.6 CFM 120 mm","https://pcpartpicker.com/product/fw7scf/thermalright-tl-s12w-476-cfm-120-mm-fan-tl-s12w","47.6 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-S12W","1","1500 RPM","120 mm","1.31 mmH2O"
"","Thermalright TL-S12 47.6 CFM 120 mm","https://pcpartpicker.com/product/YsmNnQ/thermalright-tl-s12-476-cfm-120-mm-fan-tl-s12","47.6 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-S12","1","1500 RPM","120 mm","1.31 mmH2O"
"","Noctua NF-A6x25-PWM 17.19 CFM 60 mm","https://pcpartpicker.com/product/Ldw7YJ/noctua-nf-a6x25-pwm-1719-cfm-60-mm-fan-nf-a6x25-pwm","13.3 - 17.19 CFM","Brown","4-pin PWM","","Standard","","","Noctua","13.7 - 19.3 dB","Yes","NF-A6x25-PWM","1","550 - 3000 RPM","60 mm","2.18 mmH2O"
"","Corsair iCUE SP RGB ELITE 47.73 CFM 120 mm","https://pcpartpicker.com/product/G74Ycf/corsair-icue-sp-rgb-elite-4773-cfm-120-mm-fans-3-pack-co-9050137-ww","47.73 CFM","White","4-pin PWM + Proprietary RGB","USB","Standard","","Addressable RGB","Corsair","28 dB","Yes","CO-9050137-WW","3-Pack","400 - 1500 RPM","120 mm","1.46 mmH2O"
"","Thermalright TL-S12 47.6 CFM 120 mm","https://pcpartpicker.com/product/YsmNnQ/thermalright-tl-s12-476-cfm-120-mm-fan-tl-s12","47.6 CFM","Black","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","23.2 dB","Yes","TL-S12","1","1500 RPM","120 mm","1.31 mmH2O"
"","upHere NT1207 86.34 CFM 120 mm","https://pcpartpicker.com/product/B8LwrH/uphere-nt1207-5-8634-cfm-120-mm-fans-5-pack-nt1207-5","29.37 - 86.34 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","5V Addressable RGB","Standard","","Addressable RGB","upHere","","Yes","NT1207-5","5-Pack","600 - 1800 RPM","120 mm",""
"","Thermalright TL-C12W-S V3 66.17 CFM 120 mm","https://pcpartpicker.com/product/dNBzK8/thermalright-tl-c12w-s-v3-6617-cfm-120-mm-fan-tl-c12w-s-v3","66.17 CFM","White","4-pin PWM + 3-pin 5V Addressable RGB","","Standard","","Addressable RGB","Thermalright","25.6 dB","Yes","TL-C12W-S V3","1","1500 RPM","120 mm","1.53 mmH2O"
"","Thermalright TL-K12 69 CFM 120 mm","https://pcpartpicker.com/product/ZmRwrH/thermalright-tl-k12-69-cfm-120-mm-fan-tl-k12w","69 CFM","White","4-pin PWM","","Standard","","","Thermalright","27 dB","Yes","TL-K12W","1","2150 RPM","120 mm","2.87 mmH2O"
