"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
,Fractal Design Meshify 2 Compact TG Dark Tint ATX Mid Tower,https://pcpartpicker.com/product/V7WzK8/fractal-design-meshify-2-compact-tg-dark-tint-atx-mid-tower-case-fd-c-mes2c-02,Black,"424 mm x 210 mm x 475 mm; 16.693"" x 8.268"" x 18.701""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Fractal Design,"341 mm / 13.425"" With Drive Cages; 360 mm / 14.173"" Without Drive Cages",ATX; Micro ATX; Mini ITX,FD-C-MES2C-02,None,Yes,Tinted Tempered Glass,ATX Mid Tower,42.294 L; 1.494 ft³,Meshify 2 Compact TG Dark Tint
,Phanteks Eclipse G360A ATX Mid Tower,https://pcpartpicker.com/product/pqzhP6/phanteks-eclipse-g360a-atx-mid-tower-case-ph-ec360atg_dbk02,Black,"455 mm x 200 mm x 465 mm; 17.913"" x 7.874"" x 18.307""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A,,Phanteks,"400 mm / 15.748""",ATX; EATX; Micro ATX; Mini ITX,PH-EC360ATG_DBK02,None,Yes,Tempered Glass,ATX Mid Tower,42.315 L; 1.494 ft³,
,HYTE Y70 Touch Infinite ATX Mid Tower,https://pcpartpicker.com/product/ZnzXsY/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-wb,White / Black,"470 mm x 320 mm x 470 mm; 18.504"" x 12.598"" x 18.504""","2 x Internal 3.5""",7 x Half-Height; 4 x Full-Height via Riser,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,HYTE,"390 mm / 15.354""",ATX; EATX; Micro ATX; Mini ITX,CS-HYTE-Y70TI-WB; CS-HYTE-Y70TTI-WB,None,Yes,Tempered Glass,ATX Mid Tower,70.688 L; 2.496 ft³,
,Geometric Future Model 5 ATX Mid Tower,https://pcpartpicker.com/product/J4XV3C/geometric-future-model-5-atx-mid-tower-case-geo-m5f-bg,Black / Gray,"480 mm x 242 mm x 440 mm; 18.898"" x 9.528"" x 17.323""","2 x Internal 3.5""",7 x Full-Height; 4 x Full-Height via Riser,USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A,,Geometric Future,"460 mm / 18.11""",ATX; EATX; Micro ATX; Mini ITX,GEO-M5F-BG,None,Yes,Tempered Glass,ATX Mid Tower,51.11 L; 1.805 ft³,
,Gigabyte C301 GLASS ATX Mid Tower,https://pcpartpicker.com/product/FWDQzy/gigabyte-c301-glass-atx-mid-tower-case-gb-c301g,Black,"473 mm x 220 mm x 486 mm; 18.622"" x 8.661"" x 19.134""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height; 2 x Full-Height via Riser,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Gigabyte,"400 mm / 15.748""",ATX; EATX; Micro ATX; Mini ITX,GB-C301G; GB-C301G TYPE-C,None,Yes,Tempered Glass,ATX Mid Tower,50.573 L; 1.786 ft³,
,Corsair iCUE 5000T RGB ATX Mid Tower,https://pcpartpicker.com/product/3yBG3C/corsair-icue-5000t-rgb-atx-mid-tower-case-cc-9011230-ww,Black,"530 mm x 251 mm x 560 mm; 20.866"" x 9.882"" x 22.047""","2 x Internal 3.5""; 4 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Corsair,"400 mm / 15.748""",ATX; EATX; Micro ATX; Mini ITX,CC-9011230-WW,None,Yes,Tempered Glass,ATX Mid Tower,74.497 L; 2.631 ft³,
,be quiet! Light Base 900 FX ATX Full Tower,https://pcpartpicker.com/product/Wpqrxr/be-quiet-light-base-900-fx-atx-full-tower-case-bgw71,Black,"532 mm x 327 mm x 484 mm; 20.945"" x 12.874"" x 19.055""","4 x Internal 2.5""; 1 x Internal 3.5""",8 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,be quiet!,"495 mm / 19.488""",ATX; EATX; Micro ATX; Mini ITX,BGW71,None,No,Tempered Glass,ATX Full Tower,84.199 L; 2.973 ft³,
,Fractal Design Define 7 ATX Mid Tower,https://pcpartpicker.com/product/L8xbt6/fractal-design-define-7-atx-mid-tower-case-fd-c-def7a-01,Black,"547 mm x 240 mm x 475 mm; 21.535"" x 9.449"" x 18.701""","1 x External 5.25""; 6 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A; USB 2.0 Type-A,,Fractal Design,"315 mm / 12.402"" With Drive Cages; 467 mm / 18.386"" Without Drive Cages",ATX; EATX; Micro ATX; Mini ITX,FD-C-DEF7A-01,None,Yes,None,ATX Mid Tower,62.358 L; 2.202 ft³,
,Corsair iCUE 4000D RGB AIRFLOW ATX Mid Tower,https://pcpartpicker.com/product/mGXV3C/corsair-icue-4000d-rgb-airflow-atx-mid-tower-case-cc-9011240-ww,Black,"453 mm x 230 mm x 466 mm; 17.835"" x 9.055"" x 18.346""","2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height; 2 x Full-Height via Riser,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Corsair,"360 mm / 14.173""",ATX; EATX; Micro ATX; Mini ITX,CC-9011240-WW,None,Yes,Tempered Glass,ATX Mid Tower,48.553 L; 1.715 ft³,iCUE 4000D RGB AIRFLOW
,ENDORFY ARX 500 ARGB ATX Mid Tower,https://pcpartpicker.com/product/prRwrH/endorfy-arx-500-argb-atx-mid-tower-case-ey2a011,Black,"429 mm x 228 mm x 486 mm; 16.89"" x 8.976"" x 19.134""","1 x Internal 3.5""; 6 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 2.0 Type-A,,ENDORFY,"350 mm / 13.78""",ATX; Micro ATX; Mini ITX,EY2A011,None,No,Tempered Glass,ATX Mid Tower,47.537 L; 1.679 ft³,
,Fractal Design Pop Air ATX Mid Tower,https://pcpartpicker.com/product/VPrRsY/fractal-design-pop-air-atx-mid-tower-case-fd-c-por1a-05,Orange / Black,"473.5 mm x 215 mm x 454 mm; 18.642"" x 8.465"" x 17.874""","2 x External 5.25""; 2 x Internal 3.5""; 2 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 1 Type-A,,Fractal Design,"405 mm / 15.945""",ATX; Micro ATX; Mini ITX,FD-C-POR1A-05,None,Yes,Tempered Glass,ATX Mid Tower,46.218 L; 1.632 ft³,
,Fractal Design Torrent ATX Mid Tower,https://pcpartpicker.com/product/ZwC48d/fractal-design-torrent-atx-mid-tower-case-fd-c-tor1a-03,White,"544 mm x 242 mm x 530 mm; 21.417"" x 9.528"" x 20.866""","2 x Internal 3.5""; 4 x Internal 2.5""",7 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Fractal Design,"423 mm / 16.654"" With Drive Cages; 461 mm / 18.15"" Without Drive Cages",ATX; EATX; Micro ATX; Mini ITX; SSI CEB; SSI EEB,FD-C-TOR1A-03,None,Yes,Tempered Glass,ATX Mid Tower,69.773 L; 2.464 ft³,
,Fractal Design Era 2 Mini ITX Tower,https://pcpartpicker.com/product/jjfxFT/fractal-design-era-2-mini-itx-tower-case-fd-c-era2n-02,Black / Brown,"366 mm x 165 mm x 314 mm; 14.409"" x 6.496"" x 12.362""","4 x Internal 2.5""",3 x Full-Height,USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A,,Fractal Design,,Mini ITX,FD-C-ERA2N-02,None,No,Mesh,Mini ITX Tower,18.962 L; 0.67 ft³,
,Thermaltake Core P3 TG Pro ATX Mid Tower,https://pcpartpicker.com/product/f4ytt6/thermaltake-core-p3-tg-pro-atx-mid-tower-case-ca-1g4-00m1wn-09,,"500 mm x 268 mm x 535 mm; 19.685"" x 10.551"" x 21.063""","4 x Internal 3.5""",8 x Full-Height,USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A,,Thermaltake,"330 mm / 12.992"" With Drive Cages; 450 mm / 17.717"" Without Drive Cages",ATX; EATX; Micro ATX; Mini ITX,CA-1G4-00M1WN-09,None,No,Tempered Glass,ATX Mid Tower,71.69 L; 2.532 ft³,
