"component_type","component_name","component_link","Color","Dimensions","Drive_Bays","Expansion_Slots","Front_Panel_USB","Inferred_","Manufacturer","Maximum_Video_Card_Length","Motherboard_Form_Factor","Part_#_#","Power_Supply","Power_Supply_Shroud","Side_Panel","Type","Volume","Model"
"","Phanteks NV5 MKII ATX Mid Tower","https://pcpartpicker.com/product/rvBzK8/phanteks-nv5-mkii-atx-mid-tower-case-ph-nv523tg_dbk02","Black","477 mm x 239 mm x 528 mm; 18.78"" x 9.409"" x 20.787""","4 x Internal 2.5""; 3 x Internal 3.5""","7 x Full-Height; 3 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Phanteks","440 mm / 17.323""","ATX; EATX; Micro ATX; Mini ITX","PH-NV523TG_DBK02","","Yes","Tempered Glass","ATX Mid Tower","60.194 L; 2.126 ft³",""
"","Lian Li O11 VISION COMPACT ATX Mid Tower","https://pcpartpicker.com/product/7qKscf/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpw","White","447.5 mm x 287.5 mm x 446.4 mm; 17.618"" x 11.319"" x 17.575""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","408 mm / 16.063""","ATX; EATX; Micro ATX; Mini ITX","O11VPW; O11 Vision Compact White; G99.O11VPW.00; PC-O11VPW","","No","Tempered Glass","ATX Mid Tower","57.432 L; 2.028 ft³",""
"","NZXT H7 Flow (2022) ATX Mid Tower","https://pcpartpicker.com/product/Ckt9TW/nzxt-h7-flow-atx-mid-tower-case-cm-h71fw-01","White","480 mm x 230 mm x 505 mm; 18.898"" x 9.055"" x 19.882""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","CM-H71FW-01","","Yes","Tempered Glass","ATX Mid Tower","55.752 L; 1.969 ft³",""
"","Phanteks ECLIPSE G500A DRGB ATX Mid Tower","https://pcpartpicker.com/product/jTXJ7P/phanteks-eclipse-g500a-drgb-atx-mid-tower-case-ph-ec500ga_dmw01a","White","500 mm x 240 mm x 515 mm; 19.685"" x 9.449"" x 20.276""","2 x Internal 3.5""; 9 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Phanteks","435 mm / 17.126""","ATX; EATX; Micro ATX; Mini ITX","PH-EC500GA_DMW01A","","Yes","Tempered Glass","ATX Mid Tower","61.8 L; 2.182 ft³",""
"","Lian Li O11D XL-W ATX Full Tower","https://pcpartpicker.com/product/3Pn8TW/lian-li-o11d-xl-w-atx-full-tower-case-o11d-xl-w","White / Black","471 mm x 285 mm x 513 mm; 18.543"" x 11.22"" x 20.197""","4 x Internal 3.5""; 6 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","446 mm / 17.559""","ATX; EATX; Micro ATX; Mini ITX","O11D XL-W; O11 ROG-W; PC-O11DXL-W","","Yes","Tempered Glass","ATX Full Tower","68.863 L; 2.432 ft³",""
"","Lian Li LANCOOL 205M MESH MicroATX Mini Tower","https://pcpartpicker.com/product/yxytt6/lian-li-lancool-205m-mesh-microatx-mini-tower-case-g99oe744mx10am","Black","402.5 mm x 210 mm x 400 mm; 15.846"" x 8.268"" x 15.748""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Lian Li","350 mm / 13.78""","Micro ATX; Mini ITX","G99.OE744MX.10AM; G99.OE744MX.10; LANCOOL 205M MESH BLACK; LANCOOL205MMB","","Yes","Tempered Glass","MicroATX Mini Tower","33.81 L; 1.194 ft³",""
"","Jonsbo Jonsplus Z20 MicroATX Desktop","https://pcpartpicker.com/product/MM7scf/jonsbo-jonsplus-z20-microatx-desktop-case-z20-black","Black","382 mm x 198 mm x 335 mm; 15.039"" x 7.795"" x 13.189""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Jonsbo","363 mm / 14.291""","Micro ATX; Mini ITX","Z20 Black; Z20 BK; GEJP-010","","No","Tempered Glass","MicroATX Desktop","25.338 L; 0.895 ft³",""
"","be quiet! Pure Base 500DX ATX Mid Tower","https://pcpartpicker.com/product/3W6qqs/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw38","White","450 mm x 232 mm x 463 mm; 17.717"" x 9.134"" x 18.228""","2 x Internal 3.5""; 5 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","be quiet!","369 mm / 14.528""","ATX; Micro ATX; Mini ITX","BGW38","","Yes","Tempered Glass","ATX Mid Tower","48.337 L; 1.707 ft³",""
"","Fractal Design Define 7 ATX Mid Tower","https://pcpartpicker.com/product/C76qqs/fractal-design-define-7-atx-mid-tower-case-fd-c-def7a-06","White","547 mm x 240 mm x 475 mm; 21.535"" x 9.449"" x 18.701""","1 x External 5.25""; 6 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Fractal Design","315 mm / 12.402"" With Drive Cages; 467 mm / 18.386"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX","FD-C-DEF7A-06","","Yes","Tempered Glass","ATX Mid Tower","62.358 L; 2.202 ft³",""
"","Deepcool MATREXX 30 MicroATX Mini Tower","https://pcpartpicker.com/product/Pdprxr/deepcool-matrexx-30-microatx-mini-tower-case-matrexx-30","Black","405.8 mm x 193 mm x 378.2 mm; 15.976"" x 7.598"" x 14.89""","1 x External 5.25""; 3 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Deepcool","250 mm / 9.843""","Micro ATX; Mini ITX","MATREXX 30; DP-MATX-MATREXX30; DP-ATX-MATREXX50","","No","Tempered Glass","MicroATX Mini Tower","29.62 L; 1.046 ft³",""
"","Corsair 3000D AIRFLOW ATX Mid Tower","https://pcpartpicker.com/product/NcRwrH/corsair-3000d-airflow-atx-mid-tower-case-cc-9011251-ww","Black","462 mm x 230 mm x 466 mm; 18.189"" x 9.055"" x 18.346""","2 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Corsair","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","CC-9011251-WW","","Yes","Tempered Glass","ATX Mid Tower","49.517 L; 1.749 ft³",""
"","Lian Li LANCOOL II-X ATX Mid Tower","https://pcpartpicker.com/product/kRFKHx/lian-li-lancool-ii-x-atx-mid-tower-case-lancool-ii-x","Black","","3 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","384 mm / 15.118""","ATX; Micro ATX; Mini ITX","LANCOOL II-X; Lancool2-X; LANCOOL II BLACK; LANCOOL II - X","","Yes","Tempered Glass","ATX Mid Tower","",""
"","Lian Li LANCOOL II-X ATX Mid Tower","https://pcpartpicker.com/product/kRFKHx/lian-li-lancool-ii-x-atx-mid-tower-case-lancool-ii-x","Black","","3 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","384 mm / 15.118""","ATX; Micro ATX; Mini ITX","LANCOOL II-X; Lancool2-X; LANCOOL II BLACK; LANCOOL II - X","","Yes","Tempered Glass","ATX Mid Tower","",""
"","Lian Li O11 Dynamic EVO ATX Mid Tower","https://pcpartpicker.com/product/Ykytt6/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dex","Black","465 mm x 285 mm x 459 mm; 18.307"" x 11.22"" x 18.071""","6 x Internal 3.5""; 3 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","422 mm / 16.614""","ATX; EATX; Micro ATX; Mini ITX","PC-O11DEX; O11DEX","","Yes","Tinted Tempered Glass","ATX Mid Tower","60.829 L; 2.148 ft³",""
"","Lian Li O11 Dynamic EVO ATX Mid Tower","https://pcpartpicker.com/product/Ykytt6/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dex","Black","465 mm x 285 mm x 459 mm; 18.307"" x 11.22"" x 18.071""","6 x Internal 3.5""; 3 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","422 mm / 16.614""","ATX; EATX; Micro ATX; Mini ITX","PC-O11DEX; O11DEX","","Yes","Tinted Tempered Glass","ATX Mid Tower","60.829 L; 2.148 ft³",""
"","Lian Li LANCOOL 205M MESH MicroATX Mini Tower","https://pcpartpicker.com/product/yxytt6/lian-li-lancool-205m-mesh-microatx-mini-tower-case-g99oe744mx10am","Black","402.5 mm x 210 mm x 400 mm; 15.846"" x 8.268"" x 15.748""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Lian Li","350 mm / 13.78""","Micro ATX; Mini ITX","G99.OE744MX.10AM; G99.OE744MX.10; LANCOOL 205M MESH BLACK; LANCOOL205MMB","","Yes","Tempered Glass","MicroATX Mini Tower","33.81 L; 1.194 ft³",""
"","Lian Li A3-mATX MicroATX Mini Tower","https://pcpartpicker.com/product/FG7scf/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-wd-black","Black / Brown","443 mm x 194 mm x 306 mm; 17.441"" x 7.638"" x 12.047""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","415 mm / 16.339""","Micro ATX; Mini ITX","A3-mATX-WD BLACK; PC-A3X-WD","","No","Mesh","MicroATX Mini Tower","26.298 L; 0.929 ft³",""
"","Fractal Design Mood Mini ITX Tower","https://pcpartpicker.com/product/WFjRsY/fractal-design-mood-mini-itx-tower-case-fd-c-mod1n-01","Gray","212 mm x 212 mm x 453 mm; 8.346"" x 8.346"" x 17.835""","1 x Internal 3.5""; 2 x Internal 2.5""","2 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","325 mm / 12.795""","Mini ITX","FD-C-MOD1N-01","","No","Mesh","Mini ITX Tower","20.36 L; 0.719 ft³",""
"","BitFenix Nova Mesh M ARGB MicroATX Mini Tower","https://pcpartpicker.com/product/w9rqqs/bitfenix-nova-mesh-m-argb-microatx-mini-tower-case-nsm-150-wwgsw-3a","White","400 mm x 205 mm x 385 mm; 15.748"" x 8.071"" x 15.157""","2 x Internal 3.5""; 3 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","BitFenix","345 mm / 13.583""","Micro ATX; Mini ITX","NSM-150-WWGSW-3A; BFC-NSM-150-WWGSW-3A","","Yes","Tempered Glass","MicroATX Mini Tower","31.57 L; 1.115 ft³",""
"","HYTE Y40 ATX Mid Tower","https://pcpartpicker.com/product/2djBD3/hyte-y40-atx-mid-tower-case-cs-hyte-y40-b","Black","472 mm x 240 mm x 439 mm; 18.583"" x 9.449"" x 17.283""","1 x Internal 3.5""","6 x Half-Height; 4 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","HYTE","422 mm / 16.614""","ATX; Micro ATX; Mini ITX","CS-HYTE-Y40-B","","Yes","Tempered Glass","ATX Mid Tower","49.73 L; 1.756 ft³",""
"","Fractal Design North XL ATX Full Tower","https://pcpartpicker.com/product/Gd26Mp/fractal-design-north-xl-atx-full-tower-case-fd-c-nor1x-02","Black","503 mm x 240 mm x 509 mm; 19.803"" x 9.449"" x 20.039""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","380 mm / 14.961"" With Drive Cages; 413 mm / 16.26"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX","FD-C-NOR1X-02","","Yes","Tinted Tempered Glass","ATX Full Tower","61.446 L; 2.17 ft³",""
"","SAMA SV01 ATX Mid Tower","https://pcpartpicker.com/product/k4RwrH/sama-sv01-atx-mid-tower-case-sv-01-black","Black","430.276 mm x 235.204 mm x 430.276 mm; 16.94"" x 9.26"" x 16.94""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","SAMA","410 mm / 16.142""","ATX; Micro ATX; Mini ITX","SV-01 Black","","Yes","Tempered Glass","ATX Mid Tower","43.545 L; 1.538 ft³",""
"","Thermaltake Core P3 ATX Mid Tower","https://pcpartpicker.com/product/3yx2FT/thermaltake-core-p3-atx-mid-tower-case-ca-1g4-00m1wn-06","Black","470 mm x 333 mm x 512 mm; 18.504"" x 13.11"" x 20.157""","2 x External 3.5""; 2 x Internal 3.5""","8 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Thermaltake","280 mm / 11.024"" With Drive Cages; 450 mm / 17.717"" Without Drive Cages","ATX; Micro ATX; Mini ITX","CA-1G4-00M1WN-06","","No","Tempered Glass","ATX Mid Tower","80.133 L; 2.83 ft³",""
"","Corsair 6500X ATX Mid Tower","https://pcpartpicker.com/product/ppYRsY/corsair-6500x-atx-mid-tower-case-cc-9011257-ww","Black","481 mm x 328 mm x 496 mm; 18.937"" x 12.913"" x 19.528""","2 x Internal 2.5""; 2 x Internal 3.5""","8 x Full-Height; 3 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","CC-9011257-WW","","No","Tempered Glass","ATX Mid Tower","78.253 L; 2.763 ft³",""
"","Lian Li A4-H20 A4 Mini ITX Desktop","https://pcpartpicker.com/product/BCcG3C/lian-li-a4-h20-a4-mini-itx-desktop-case-a4-h20-a4","Silver / Black","326 mm x 140 mm x 244 mm; 12.835"" x 5.512"" x 9.606""","1 x Internal 2.5""","3 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","322 mm / 12.677""","Mini ITX","A4-H20 A4; A4-H20 A4 Silver; A4-H2O A4; A4-H2O A4 Silver; G99.A4H2OA4.00","","No","Mesh","Mini ITX Desktop","11.136 L; 0.393 ft³",""
"","Cougar Purity RGB MicroATX Mini Tower","https://pcpartpicker.com/product/4D6p99/cougar-purity-rgb-microatx-mini-tower-case-385pc400001","Black","360 mm x 200 mm x 392 mm; 14.173"" x 7.874"" x 15.433""","2 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Cougar","305 mm / 12.008""","Micro ATX; Mini ITX","385PC40.0001","","Yes","Tempered Glass","MicroATX Mini Tower","28.224 L; 0.997 ft³",""
"","NZXT H9 Flow ATX Mid Tower","https://pcpartpicker.com/product/VCpzK8/nzxt-h9-flow-atx-mid-tower-case-cm-h91fb-01","Black","466 mm x 290 mm x 495 mm; 18.346"" x 11.417"" x 19.488""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","NZXT","435 mm / 17.126""","ATX; Micro ATX; Mini ITX","CM-H91FB-01","","Yes","Tempered Glass","ATX Mid Tower","66.894 L; 2.362 ft³",""
"","Segotep Phoenix T1 ATX Mid Tower","https://pcpartpicker.com/product/Zznypg/segotep-phoenix-t1-atx-mid-tower-case-cp-case-st-atx-t1-wt","White","548.64 mm x 238.76 mm x 500.38 mm; 21.6"" x 9.4"" x 19.7""","2 x Internal 3.5""; 2 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Segotep","345 mm / 13.583""","ATX; EATX; Micro ATX; Mini ITX","CP-CASE-ST-ATX-T1-WT; Phoenix T1 White","","Yes","Tempered Glass","ATX Mid Tower","65.546 L; 2.315 ft³",""
"","Okinos Aqua 3 MicroATX Mini Tower","https://pcpartpicker.com/product/FfQKHx/okinos-aqua-3-microatx-mini-tower-case-okicc-aqua3-matxb-h3ba","Black","350 mm x 210 mm x 392 mm; 13.78"" x 8.268"" x 15.433""","2 x Internal 3.5""; 1 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 1 Type-A","","Okinos","330 mm / 12.992""","Micro ATX; Mini ITX","OKICC-AQUA3-MATXB-H3BA","","Yes","Tempered Glass","MicroATX Mini Tower","28.812 L; 1.017 ft³",""
"","Corsair Obsidian Series 750D ATX Full Tower","https://pcpartpicker.com/product/BKW9TW/corsair-case-750d","Black","546 mm x 234 mm x 558 mm; 21.496"" x 9.213"" x 21.969""","3 x External 5.25""; 6 x Internal 3.5""; 4 x Internal 2.5""","9 x Full-Height","USB 3.2 Gen 1 Type-A; USB 2.0 Type-A","","Corsair","340 mm / 13.386"" With Drive Cages; 450 mm / 17.717"" Without Drive Cages","ATX; EATX; Micro ATX; Mini ITX; XL ATX","750D; CC-9011035-WW","","No","Acrylic","ATX Full Tower","71.292 L; 2.518 ft³",""
"","Cooler Master MasterBox NR200P Mini ITX Desktop","https://pcpartpicker.com/product/29drxr/cooler-master-masterbox-nr200p-mini-itx-desktop-case-mcb-nr200p-kgnn-s00","Black","376 mm x 185 mm x 292 mm; 14.803"" x 7.283"" x 11.496""","2 x Internal 3.5""; 2 x Internal 2.5""","3 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 1 Type-A","","Cooler Master","330 mm / 12.992""","Mini ITX; Mini DTX","MCB-NR200P-KGNN-S00","","No","Tempered Glass","Mini ITX Desktop","20.312 L; 0.717 ft³",""
"","Montech XR ATX Mid Tower","https://pcpartpicker.com/product/nhbRsY/montech-xr-atx-mid-tower-case-xr-w","White","435 mm x 230 mm x 450 mm; 17.126"" x 9.055"" x 17.717""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","420 mm / 16.535""","ATX; Micro ATX; Mini ITX","XR-W; XR (W); XR-WH; Montech_XR (W)","","Yes","Tempered Glass","ATX Mid Tower","45.023 L; 1.59 ft³",""
"","Antec FLUX ATX Mid Tower","https://pcpartpicker.com/product/pMRwrH/antec-flux-atx-mid-tower-case-0-761345-10133-2","Black / Brown","484 mm x 239 mm x 502 mm; 19.055"" x 9.409"" x 19.764""","1 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Antec","408 mm / 16.063""","ATX; EATX; Micro ATX; Mini ITX","0-761345-10133-2","","Yes","Tempered Glass","ATX Mid Tower","58.069 L; 2.051 ft³",""
"","SAMA IM01 Pro MicroATX Mini Tower","https://pcpartpicker.com/product/RMWJ7P/sama-im01-pro-microatx-mini-tower-case-sama-im01-pro-bkg","Black","391 mm x 205 mm x 325 mm; 15.394"" x 8.071"" x 12.795""","4 x Internal 3.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","SAMA","355 mm / 13.976""","Micro ATX; Mini ITX","SAMA IM01 Pro BKG; IM01 PRO Black","","No","Tempered Glass","MicroATX Mini Tower","26.05 L; 0.92 ft³",""
"","Corsair iCUE 5000D RGB AIRFLOW iCUE Lighting Node PRO ATX Mid Tower","https://pcpartpicker.com/product/XjHqqs/corsair-icue-5000d-rgb-airflow-icue-lighting-node-pro-atx-mid-tower-case-cc-9900014-ww","White","520 mm x 245 mm x 520 mm; 20.472"" x 9.646"" x 20.472""","2 x Internal 3.5""; 4 x Internal 2.5""","7 x Full-Height; 2 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Corsair","420 mm / 16.535""","ATX; EATX; Micro ATX; Mini ITX","CC-9900014-WW","","Yes","Tempered Glass","ATX Mid Tower","66.248 L; 2.34 ft³",""
"","Lian Li PC-O11 Dynamic ATX Full Tower","https://pcpartpicker.com/product/VxRzK8/lian-li-pc-o11dw-atx-full-tower-case-pc-o11dw","White","445 mm x 272 mm x 446 mm; 17.52"" x 10.709"" x 17.559""","3 x Internal 3.5""; 3 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","420 mm / 16.535""","ATX; EATX; Micro ATX; Mini ITX","PC-O11DW; PC011DW","","Yes","Tempered Glass","ATX Full Tower","53.984 L; 1.906 ft³",""
"","Phanteks NV7 ATX Full Tower","https://pcpartpicker.com/product/cFGhP6/phanteks-nv7-atx-full-tower-case-ph-nv723tg_dbk01","Black","532 mm x 253 mm x 586 mm; 20.945"" x 9.961"" x 23.071""","2 x Internal 3.5""; 2 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Phanteks","450 mm / 17.717""","ATX; EATX; Micro ATX; Mini ITX; SSI CEB","PH-NV723TG_DBK01; NV723TG_DBK01","","Yes","Tempered Glass","ATX Full Tower","78.873 L; 2.785 ft³",""
"","Montech SKY TWO GX ATX Mid Tower","https://pcpartpicker.com/product/CrbRsY/montech-sky-two-gx-atx-mid-tower-case-skytwogxb","Black","460 mm x 215 mm x 500 mm; 18.11"" x 8.465"" x 19.685""","6 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","400 mm / 15.748""","ATX; EATX; Micro ATX; Mini ITX","SKYTWOGXB; SKY TWO GX (B)","","Yes","Tempered Glass","ATX Mid Tower","49.45 L; 1.746 ft³",""
"","Fractal Design Era 2 Mini ITX Tower","https://pcpartpicker.com/product/Bg88TW/fractal-design-era-2-mini-itx-tower-case-fd-c-era2n-01","Silver / Brown","366 mm x 165 mm x 314 mm; 14.409"" x 6.496"" x 12.362""","4 x Internal 2.5""","3 x Full-Height","USB 3.2 Gen 2x2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","","Mini ITX","FD-C-ERA2N-01","","No","Mesh","Mini ITX Tower","18.962 L; 0.67 ft³",""
"","Lian Li A3-mATX MicroATX Mini Tower","https://pcpartpicker.com/product/FG7scf/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-wd-black","Black / Brown","443 mm x 194 mm x 306 mm; 17.441"" x 7.638"" x 12.047""","1 x Internal 3.5""; 2 x Internal 2.5""","4 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","415 mm / 16.339""","Micro ATX; Mini ITX","A3-mATX-WD BLACK; PC-A3X-WD","","No","Mesh","MicroATX Mini Tower","26.298 L; 0.929 ft³",""
"","Corsair 3000D AIRFLOW ATX Mid Tower","https://pcpartpicker.com/product/NcRwrH/corsair-3000d-airflow-atx-mid-tower-case-cc-9011251-ww","Black","462 mm x 230 mm x 466 mm; 18.189"" x 9.055"" x 18.346""","2 x Internal 2.5""; 2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Corsair","360 mm / 14.173""","ATX; EATX; Micro ATX; Mini ITX","CC-9011251-WW","","Yes","Tempered Glass","ATX Mid Tower","49.517 L; 1.749 ft³",""
"","HYTE Y70 Touch Infinite ATX Mid Tower","https://pcpartpicker.com/product/Tvrqqs/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-ww","White","470 mm x 320 mm x 470 mm; 18.504"" x 12.598"" x 18.504""","2 x Internal 3.5""","7 x Half-Height; 4 x Full-Height via Riser","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","HYTE","390 mm / 15.354""","ATX; EATX; Micro ATX; Mini ITX","CS-HYTE-Y70TI-WW; CS-HYTE-Y70TTI-WW","","Yes","Tempered Glass","ATX Mid Tower","70.688 L; 2.496 ft³",""
"","Fractal Design North ATX Mid Tower","https://pcpartpicker.com/product/Pmytt6/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-04","White","447 mm x 215 mm x 469 mm; 17.598"" x 8.465"" x 18.465""","2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Fractal Design","300 mm / 11.811"" With Drive Cages; 355 mm / 13.976"" Without Drive Cages","ATX; Micro ATX; Mini ITX","FD-C-NOR1C-04","","Yes","Tempered Glass","ATX Mid Tower","45.073 L; 1.592 ft³",""
"","Fractal Design Meshify C ATX Mid Tower","https://pcpartpicker.com/product/Y6Crxr/fractal-design-meshify-c-atx-mid-tower-case-fd-ca-mesh-c-bko-tg","Black","413 mm x 217 mm x 453 mm; 16.26"" x 8.543"" x 17.835""","2 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Fractal Design","315 mm / 12.402""","ATX; Micro ATX; Mini ITX","FD-CA-MESH-C-BKO-TG","","Yes","Tinted Tempered Glass","ATX Mid Tower","40.598 L; 1.434 ft³",""
"","Phanteks Eclipse G400A ATX Mid Tower","https://pcpartpicker.com/product/p4DnTW/phanteks-eclipse-g400a-atx-mid-tower-case-ph-ec400ga_dbk01","Black","495 mm x 230 mm x 522 mm; 19.488"" x 9.055"" x 20.551""","2 x Internal 3.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Phanteks","415 mm / 16.339""","ATX; EATX; Micro ATX; Mini ITX","PH-EC400GA_DBK01","","Yes","Tempered Glass","ATX Mid Tower","59.43 L; 2.099 ft³",""
"","Lian Li O11D XL-X ATX Full Tower","https://pcpartpicker.com/product/FjpmP6/lian-li-o11d-xl-x-atx-full-tower-case-o11d-xl-x","Black","471 mm x 285 mm x 513 mm; 18.543"" x 11.22"" x 20.197""","4 x Internal 3.5""; 6 x Internal 2.5""","8 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Lian Li","446 mm / 17.559""","ATX; EATX; Micro ATX; Mini ITX","O11D XL-X; O11 ROG-X; PC-O11DXL-X","","Yes","Tempered Glass","ATX Full Tower","68.863 L; 2.432 ft³",""
"","Montech KING 95 PRO ATX Mid Tower","https://pcpartpicker.com/product/7qQKHx/montech-king-95-pro-atx-mid-tower-case-king-95-pro-black","Black","475 mm x 300 mm x 442 mm; 18.701"" x 11.811"" x 17.402""","5 x Internal 3.5""; 3 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 2 Type-C; USB 3.2 Gen 1 Type-A","","Montech","420 mm / 16.535""","ATX; Micro ATX; Mini ITX","KING 95 PRO (Black); KING 95 PRO (B); KING95PROB; KING 95 PRO BK","","No","Tempered Glass","ATX Mid Tower","62.985 L; 2.224 ft³",""
"","Fractal Design Pop Air ATX Mid Tower","https://pcpartpicker.com/product/R96p99/fractal-design-pop-air-atx-mid-tower-case-fd-c-por1a-02","Cyan / Black","473.5 mm x 215 mm x 454 mm; 18.642"" x 8.465"" x 17.874""","2 x External 5.25""; 2 x Internal 3.5""; 2 x Internal 2.5""","7 x Full-Height","USB 3.2 Gen 1 Type-A","","Fractal Design","405 mm / 15.945""","ATX; Micro ATX; Mini ITX","FD-C-POR1A-02","","Yes","Tempered Glass","ATX Mid Tower","46.218 L; 1.632 ft³",""
