component_name,component_link,Capacity,Form_Factor,Full_Disk_Write_Throughput,Full_Disk_Write_Throughput_Lowest_10_Seconds,Interface,Manufacturer,NVME,Part__,Price_GB,Random_Read_Throughput_QD1,Random_Read_Throughput_QD32,Random_Write_Throughput_QD1,Random_Write_Throughput_QD32,SSD_NAND_Flash_Type,Sequential_Read_Throughput_QD1,Sequential_Read_Throughput_QD4,Sequential_Write_Throughput_QD1,Sequential_Write_Throughput_QD4,Type
Corsair Mp700 2 Tb M.2-2280 Pcie 5.0 X4 Nvme Ssd,https://pcpartpicker.com/product/JY9wrH/corsair-mp700-2-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-cssd-f2000gbmp700r2,2000,M.2 2280,,,PCIe 5.0 x4,Corsair,TRUE,CSSD-F2000GBMP700R2,,,,,,3D TLC,,,,,SSD
Lexar Nm710 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/mPXV3C/lexar-nm710-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm710x002t-rnnng,2000,M.2 2280,,,PCIe 4.0 x4,Lexar,TRUE,LNM710X002T-RNNNG,0.072,,,,,,,,,,SSD
Lexar Nm710 1 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/V3yH99/lexar-nm710-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm710x001t-rnnng,1000,M.2 2280,,,PCIe 4.0 x4,Lexar,TRUE,LNM710X001T-RNNNG,0.085,,,,,,,,,,SSD
Adata Xpg Spectrix S40G Rgb 1 Tb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/7WcRsY/adata-xpg-spectrix-s40g-rgb-1-tb-m2-2280-nvme-solid-state-drive-as40g-1tt-c,1000,M.2 2280,,,PCIe 3.0 x4,Adata,TRUE,AS40G-1TT-C,0.16,,,,,,,,,,SSD
"Adata Su630 240 Gb 2.5"" Ssd",https://pcpartpicker.com/product/cvgzK8/adata-su630-240-gb-25-solid-state-drive-asu630ss-240gq-r,240,"2.5""",,,SATA 6.0 Gb/s,Adata,FALSE,ASU630SS-240GQ-R,0.111,,,,,,,,,,SSD
Corsair Mp600 Gs 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/WMqPxr/corsair-mp600-gs-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-cssd-f2000gbmp600gs,2000,M.2 2280,,,PCIe 4.0 x4,Corsair,TRUE,CSSD-F2000GBMP600GS,0.095,,,,,3D TLC,,,,,SSD
Samsung 990 Evo Plus 1 Tb M.2-2280 Pcie 5.0 X2 Nvme Ssd,https://pcpartpicker.com/product/XQFmP6/samsung-990-evo-plus-1-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s1t0bw,1000,M.2 2280,,,PCIe 5.0 x2,Samsung,TRUE,MZ-V9S1T0BW,0.075,,,,,,,,,,SSD
Gigabyte Aorus Gen4 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/KZMTwP/gigabyte-aorus-nvme-gen4-2-tb-m2-2280-nvme-solid-state-drive-gp-ag42tb,2000,M.2 2280,,,PCIe 4.0 x4,Gigabyte,TRUE,GP-AG42TB,,,,,,,,,,,SSD
Western Digital Black 512 Gb M.2-2280 Pcie 3.0 X4 Nvme Ssd,https://pcpartpicker.com/product/wjDzK8/western-digital-black-512gb-m2-2280-solid-state-drive-wds512g1x0c,512,M.2 2280,,,PCIe 3.0 x4,Western Digital,TRUE,WDS512G1X0C,0.391,,,,,,,,,,SSD
Teamgroup A440 Lite 2 Tb M.2-2280 Pcie 4.0 X4 Nvme Ssd,https://pcpartpicker.com/product/C8BzK8/teamgroup-a440-lite-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-tm8ffq002t0c129,2000,M.2 2280,,,PCIe 4.0 x4,Teamgroup,TRUE,TM8FFQ002T0C129,0.087,,,,,,,,,,SSD
