component_type,component_name,component_link,Amount,Features,Manufacturer,Part_#_#
,ARCTIC MX-4 w/ Spatula 4 g,https://pcpartpicker.com/product/gCpQzy/arctic-mx-4-w-spatula-4-g-thermal-paste-actcp00031b,4 g,,ARCTIC,ACTCP00031B
,Thermal Grizzly Conductonaut 1 g,https://pcpartpicker.com/product/9PkwrH/thermal-grizzly-conductonaut-1g-thermal-paste-tg-c-001-r,1 g,,Thermal Grizzly,TG-C-001-R,Conductonaut
,Thermalright TF7 2 g,https://pcpartpicker.com/product/96BzK8/thermalright-tf7-2-g-thermal-paste-tf7-2g,,,,
,Thermal Grizzly Kryonaut 5.5 g,https://pcpartpicker.com/product/CRkwrH/thermal-grizzly-thermal-paste-tgk015r,,,,
,Thermal Grizzly Kryonaut 5.5 g,https://pcpartpicker.com/product/CRkwrH/thermal-grizzly-thermal-paste-tgk015r,,,,
,ARCTIC MX-4 (2019) 8 g,https://pcpartpicker.com/product/YbfFf7/arctic-mx-4-2019-8-g-thermal-paste-actcp00008b,,,,
,KINGPINcooling KPx 30 g,https://pcpartpicker.com/product/qQcgXL/kingpincooling-kpx-30-g-thermal-paste-kpx-30g-002,,,,
,KINGPINcooling KPx 1 g,https://pcpartpicker.com/product/g4YRsY/kingpincooling-kpx-1-g-thermal-paste-kpx-1g-002,,,,
,Noctua NT-H2 10 g,https://pcpartpicker.com/product/hmYLrH/noctua-nt-h2-10-g-thermal-paste-nt-h2-10g,,,,
,Asus ROG RG-07 KIT 3 g,https://pcpartpicker.com/product/VqKscf/asus-rog-rg-07-kit-3-g-thermal-paste-rog-rg-07-kit,,,,
,Noctua NT-H2 10 g,https://pcpartpicker.com/product/hmYLrH/noctua-nt-h2-10-g-thermal-paste-nt-h2-10g,,,,
