component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Inferred_,Interface,Length,Manufacturer,Memory,Memory_Type,Part_#_#,SLI_CrossFire,TDP,Total_Slot_Width,,,
Gigabyte Vision OC GeForce RTX 3080 10GB 10 GB,https://pcpartpicker.com/product/3fWBD3/gigabyte-vision-oc-geforce-rtx-3080-10gb-10-gb-video-card-gvn3080visionoc10gd,1800 MHz,2,GeForce RTX 3080 10GB,Silver / White,3 Fans,1440 MHz,3,19000 MHz,2 x PCIe 8-pin,G-Sync,2,,PCIe x16,320 mm,Gigabyte,10 GB,GDDR6X,GVN3080VISIONOC10GD,,320 W,3,,,
Zotac GAMING AMP Holo GeForce RTX 3080 Ti 12 GB,https://pcpartpicker.com/product/FBvdnQ/zotac-geforce-rtx-3080-ti-12-gb-gaming-amp-holo-video-card-zt-a30810f-10p,1710 MHz,2,GeForce RTX 3080 Ti,Black / Silver,3 Fans,1365 MHz,3,19000 MHz,2 x PCIe 8-pin,G-Sync,1,,PCIe x16,318 mm,Zotac,12 GB,GDDR6X,ZT-A30810F-10P,,350 W,4,,,
Zotac GAMING AMP Holo GeForce RTX 3080 Ti 12 GB,https://pcpartpicker.com/product/FBvdnQ/zotac-geforce-rtx-3080-ti-12-gb-gaming-amp-holo-video-card-zt-a30810f-10p,1710 MHz,2,GeForce RTX 3080 Ti,Black / Silver,3 Fans,1365 MHz,3,19000 MHz,2 x PCIe 8-pin,G-Sync,1,,PCIe x16,318 mm,Zotac,12 GB,GDDR6X,ZT-A30810F-10P,,350 W,4,,,
PowerColor AXRX 5700XT 8GBD6-3DH Radeon RX 5700 XT 8 GB,https://pcpartpicker.com/product/QjpmP6/powercolor-radeon-rx-5700-xt-8-gb-video-card-axrx-5700xt-8gbd6-3dh,1905 MHz,2,Radeon RX 5700 XT,Black,2 Fans,1605 MHz,3,14000 MHz,1 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,230 mm,PowerColor,8 GB,GDDR6,AXRX 5700XT 8GBD6-3DH,,225 W,2,,,
Gigabyte GAMING OC Radeon RX 6800 16 GB,https://pcpartpicker.com/product/Nw9tt6/gigabyte-radeon-rx-6800-16-gb-gaming-oc-video-card-gv-r68gaming-oc-16gd,2155 MHz,2,Radeon RX 6800,Silver / Black,3 Fans,1815 MHz,2,16000 MHz,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,286 mm,Gigabyte,16 GB,GDDR6,GV-R68GAMING OC-16GD,,250 W,3,,,
Gigabyte GAMING OC GeForce RTX 3060 Ti 8 GB,https://pcpartpicker.com/product/b6TzK8/gigabyte-geforce-rtx-3060-ti-8-gb-gaming-oc-video-card-gv-n306tgaming-oc-8gd,1740 MHz,2,GeForce RTX 3060 Ti,Black / Silver,3 Fans,1410 MHz,2,1400 MHz,1 x PCIe 8-pin,G-Sync,2,,PCIe x16,282 mm,Gigabyte,8 GB,GDDR6,GV-N306TGAMING OC-8GD,,200 W,2,,,
PNY XLR8 Gaming EPIC-X RGB GeForce RTX 3090 24 GB,https://pcpartpicker.com/product/hP4BD3/pny-geforce-rtx-3090-24-gb-xlr8-gaming-epic-x-rgb-video-card-vcg309024tfxmpb,1695 MHz,2,GeForce RTX 3090,Black,3 Fans,1395 MHz,3,,2 x PCIe 8-pin,G-Sync,1,,PCIe x16,294 mm,PNY,24 GB,GDDR6X,VCG309024TFXMPB,2-way SLI Capable,350 W,3,,,
Sapphire NITRO+ SE Radeon RX 6900 XT 16 GB,https://pcpartpicker.com/product/9QPQzy/sapphire-radeon-rx-6900-xt-16-gb-nitro-se-video-card-11308-03-20g,2365 MHz,2,Radeon RX 6900 XT,Black / White,3 Fans,1825 MHz,3,16000 MHz,2 x PCIe 8-pin + 1 x PCIe 6-pin,FreeSync,1,,PCIe x16,310 mm,Sapphire,16 GB,GDDR6,11308-03-20G,,363 W,3,,,
XFX Speedster QICK 319 BLACK Radeon RX 6700 XT 12 GB,https://pcpartpicker.com/product/Q4stt6/xfx-radeon-rx-6700-xt-12-gb-speedster-qick-319-black-video-card-rx-67xtypbdp,2622 MHz,2,Radeon RX 6700 XT,Black,3 Fans,2457 MHz,3,16000 MHz,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,323 mm,XFX,12 GB,GDDR6,RX-67XTYPBDP,,230 W,3,,,
ASRock Challenger D OC Radeon RX 6600 XT 8 GB,https://pcpartpicker.com/product/DgFbt6/asrock-radeon-rx-6600-xt-8-gb-challenger-d-oc-video-card-rx6600xt-cld-8go,,2,Radeon RX 6600 XT,Black,2 Fans,1968 MHz,3,,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,269 mm,ASRock,8 GB,GDDR6,RX6600XT CLD 8GO; 90-GA2TZZ-00UANF,,160 W,2,,,
Sapphire PURE Radeon RX 7800 XT 16 GB,https://pcpartpicker.com/product/nh26Mp/sapphire-pure-radeon-rx-7800-xt-16-gb-video-card-11330-03-20g,2475 MHz,2,Radeon RX 7800 XT,White,3 Fans,1295 MHz,2,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11330-03-20G,,270 W,3,,,
