component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part__,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count
Intel Core I7-6700 3.4 Ghz Quad-Core,https://pcpartpicker.com/product/7V7CmG/intel-cpu-bx80662i76700,4,Skylake-S,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 530,1,8,14,Intel,128,Skylake,Boxed,BX80662I76700,4,3.4,Intel Core i7,TRUE,LGA1151,0,8
Intel Core I5-8600K 3.6 Ghz 6-Core,https://pcpartpicker.com/product/Mr2rxr/intel-core-i5-8600k-36ghz-6-core-processor-bx80684i58600k,6,Coffee Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,1.5,9,14,Intel,128,Coffee Lake,Boxed,BX80684I58600K,4.3,3.6,Intel Core i5,FALSE,LGA1151,0,6
Intel Core I5-6400 2.7 Ghz Quad-Core Oem/Tray,https://pcpartpicker.com/product/kYH48d/intel-cpu-cm8066201920506,4,Skylake-S,FALSE,0,0,FALSE,FALSE,Intel HD Graphics 530,1,6,14,Intel,128,Skylake,OEM/Tray,CM8066201920506,3.3,2.7,Intel Core i5,FALSE,LGA1151,0,4
Intel Core I9-10900K 3.7 Ghz 10-Core,https://pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k,10,Comet Lake,FALSE,0,0,FALSE,FALSE,Intel UHD Graphics 630,2.5,20,14,Intel,128,Comet Lake,Boxed,BX8070110900K,5.3,3.7,Intel Core i9,TRUE,LGA1200,0,20
Intel Core I5-10600Kf 4.1 Ghz 6-Core,https://pcpartpicker.com/product/p6jNnQ/intel-core-i5-10600kf-41-ghz-6-core-processor-bx8070110600kf,6,Comet Lake,FALSE,0,0,FALSE,FALSE,nan,1.5,12,14,Intel,128,Comet Lake,Boxed,BX8070110600KF,4.8,4.1,Intel Core i5,TRUE,LGA1200,0,12
Amd Ryzen 7 2700 3.2 Ghz 8-Core,https://pcpartpicker.com/product/WPQG3C/amd-ryzen-7-2700-32ghz-8-core-processor-yd2700bbafbox,8,Pinnacle Ridge,FALSE,0,0,TRUE,TRUE,nan,4,16,12,Amd,128,Zen+,Boxed,YD2700BBAFBOX,4.1,3.2,AMD Ryzen 7,TRUE,AM4,0,16
Amd Ryzen 7 8700G 4.2 Ghz 8-Core,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box,8,Phoenix 1,FALSE,0,0,TRUE,TRUE,Radeon 780M,8,16,4,Amd,128,Zen 4,Boxed,100-100001236BOX,5.1,4.2,AMD Ryzen 7,TRUE,AM5,0,16
Intel Core I5-7600 3.5 Ghz Quad-Core,https://pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600,4,Kaby Lake-S,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 630,1,6,14,Intel,128,Kaby Lake,Boxed,BX80677I57600,4.1,3.5,Intel Core i5,FALSE,LGA1151,0,4
Intel Core I7-13700 2.1 Ghz 16-Core,https://pcpartpicker.com/product/8VqPxr/intel-core-i7-13700-21-ghz-16-core-processor-bx8071513700,16,Raptor Lake,TRUE,4.1,1.5,TRUE,TRUE,Intel UHD Graphics 770,24,30,10,Intel,128,Raptor Lake,Boxed,BX8071513700,5.2,2.1,Intel Core i7,TRUE,LGA1700,0,24
Amd Fx-6100 3.3 Ghz 6-Core Oem/Tray,https://pcpartpicker.com/product/PkMFf7/amd-cpu-fd6100wmgusbx,6,Zambezi,FALSE,0,0,TRUE,TRUE,nan,6,6,32,Amd,128,Bulldozer,OEM/Tray,FD6100WMGUSBX,0,3.3,AMD FX,FALSE,AM3+,0,6
Intel Core I7-9700Kf 3.6 Ghz 8-Core,https://pcpartpicker.com/product/LhCD4D/intel-core-i7-9700kf-36-ghz-8-core-processor-bx80684i79700kf,8,Coffee Lake Refresh,FALSE,0,0,FALSE,FALSE,nan,2,12,14,Intel,128,Coffee Lake Refresh,Boxed,BX80684I79700KF,4.9,3.6,Intel Core i7,FALSE,LGA1151,0,8
Amd Fx-8350 4 Ghz 8-Core,https://pcpartpicker.com/product/ykphP6/amd-cpu-fd8350frhkbox,8,Vishera,FALSE,0,0,TRUE,TRUE,nan,8,8,32,Amd,128,Piledriver,Boxed,FD8350FRHKBOX,0,4,AMD FX,FALSE,AM3+,0,8
Amd Ryzen 7 5700G 3.8 Ghz 8-Core,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,8,Cezanne,FALSE,0,0,TRUE,TRUE,Radeon Vega 8,4,16,7,Amd,128,Zen 3,Boxed,100-100000263BOX,4.6,3.8,AMD Ryzen 7,TRUE,AM4,0,16
Intel Core I5-2400 3.1 Ghz Quad-Core,https://pcpartpicker.com/product/jxJwrH/intel-cpu-bx80623i52400,4,Sandy Bridge,FALSE,0,0,TRUE,TRUE,Intel HD Graphics 2000,0.5,6,32,Intel,128,Sandy Bridge,Boxed,BX80623I52400,0,3.1,Intel Core i5,FALSE,LGA1155,0,4
Intel Core I5-14600Kf 3.5 Ghz 14-Core,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,14,Raptor Lake Refresh,TRUE,4,2.6,FALSE,FALSE,nan,20,24,7,Intel,128,Raptor Lake Refresh,Boxed,BX8071514600KF,5.3,3.5,Intel Core i5,TRUE,LGA1700,0,20
Intel Core I5-8500 3 Ghz 6-Core,https://pcpartpicker.com/product/kFKcCJ/intel-core-i5-8500-3ghz-6-core-processor-bx80684i58500,6,Coffee Lake,FALSE,0,0,TRUE,TRUE,Intel UHD Graphics 630,1.5,9,14,Intel,128,Coffee Lake,Boxed,BX80684I58500,4.1,3,Intel Core i5,FALSE,LGA1151,0,6
Intel Core I7-7800X 3.5 Ghz 6-Core,https://pcpartpicker.com/product/ymtWGX/intel-core-i7-7800x-35ghz-6-core-processor-bx80673i77800x,6,Skylake-X,FALSE,0,0,FALSE,FALSE,nan,6,8.25,14,Intel,128,Skylake,Boxed,BX80673I77800X,4,3.5,Intel Core i7,TRUE,LGA2066,0,12
Intel Core I5-10600 3.3 Ghz 6-Core,https://pcpartpicker.com/product/hftKHx/intel-core-i5-10600-33-ghz-6-core-processor-bx8070110600,6,Comet Lake,FALSE,0,0,TRUE,TRUE,Intel UHD Graphics 630,1.5,12,14,Intel,128,Comet Lake,Boxed,BX8070110600,4.8,3.3,Intel Core i5,TRUE,LGA1200,0,12
Intel Core I7-12700F 2.1 Ghz 12-Core,https://pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f,12,Alder Lake,FALSE,3.6,1.6,TRUE,TRUE,nan,12,25,10,Intel,128,Alder Lake,Boxed,BX8071512700F,4.9,2.1,Intel Core i7,TRUE,LGA1700,0,20
