component_name,component_link,AMP_Molex_4pin_Connectors,ATX_4pin_Connectors,Color,EPS_8pin_Connectors,Efficiency_Rating,Fanless,Inferred_,Length,Manufacturer,Modular,PCIe_12pin_Connectors,PCIe_16pin_12VHPWR_12V2x6_Connectors,PCIe_62pin_Connectors,PCIe_6pin_Connectors,PCIe_8pin_Connectors,Part_#_#,SATA_Connectors,Type,Wattage,
PowerSpec PS 750BSM 750 W 80+ Bronze Certified Semi-modular ATX,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,No,,160 mm,PowerSpec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750 W,
Super Flower LEADEX VII Platinum PRO 850 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/QJXV3C/super-flower-leadex-vii-platinum-pro-850-w-80-platinum-certified-fully-modular-atx-power-supply-sf-850f14xp,4,0,Black,2,80+ Platinum,No,,150 mm,Super Flower,Full,0,1,3,0,0,SF-850F14XP; SF-850F14XP(BK),12,ATX,850 W,
MSI MAG A1250GL PCIE5 1250 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/qxdG3C/msi-mag-a1250gl-pcie5-1250-w-80-gold-certified-fully-modular-atx-power-supply-mag-a1250gl-pcie5,4,0,Black,2,80+ Gold,No,,150 mm,MSI,Full,0,1,4,0,0,MAG A1250GL PCIE5; 306-7ZP9A11-CE0,12,ATX,1250 W,
SeaSonic Focus GX V4 ATX 3 (2024) 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/YkCZxr/seasonic-focus-gx-atx-30-v4-2024-1000-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-1000-v4,3,0,Black,2,80+ Gold,No,,140 mm,SeaSonic,Full,0,1,3,0,0,FOCUS-GX-1000-V4; Focus V4 GX-1000,8,ATX,1000 W,
ADATA XPG PYLON 650 W 80+ Bronze Certified ATX,https://pcpartpicker.com/product/LWYQzy/adata-xpg-pylon-650-w-80-bronze-certified-atx-power-supply-pylon650b-bkcus,1,0,Black,1,80+ Bronze,No,,140 mm,ADATA,No,0,0,4,0,0,PYLON650B-BKCUS; PYLON650B-BKCAR; PYLON650B-BKCAU; PYLON650B-BKCBR; PYLON650B-BKCCN; PYLON650B-BKCEU; PYLON650B-BKCGB; PYLON650B-BKCJP; PYLON650B-BKCKR; PYLON650B-BKCTW; PYLON650B-BKCZA; PYLON 650,8,ATX,650 W,
Rosewill CMG1000G5 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/9LsV3C/rosewill-cmg1000g5-1000-w-80-gold-certified-fully-modular-atx-power-supply-cmg1000g5,4,0,Black,2,80+ Gold,No,,140 mm,Rosewill,Full,0,1,4,0,0,CMG1000G5,8,ATX,1000 W,
Super Flower Leadex Platinum 850 W 80+ Platinum Certified Fully Modular ATX,https://pcpartpicker.com/product/mW4Ycf/super-flower-leadex-platinum-850-w-80-platinum-certified-fully-modular-atx-power-supply-sf-850f14mp,5,0,Black,2,80+ Platinum,No,,165 mm,Super Flower,Full,0,0,4,0,0,SF-850F14MP,10,ATX,850 W,
be quiet! Pure Power 12 M 850 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/4XsV3C/be-quiet-pure-power-12-m-850-w-80-gold-certified-fully-modular-atx-power-supply-bn505,2,0,Black,2,80+ Gold,No,,160 mm,be quiet!,Full,0,1,4,0,0,BN505; BN716; BN344,6,ATX,850 W,
SeaSonic VERTEX GX-1000 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/RqYmP6/seasonic-vertex-gx-1000-1000-w-80-gold-certified-fully-modular-atx-power-supply-vertex-gx-1000,3,0,Black / Silver,2,80+ Gold,No,,160 mm,SeaSonic,Full,0,1,3,0,0,VERTEX GX-1000,18,ATX,1000 W,
be quiet! Pure Power 12 M 1000 W 80+ Gold Certified Fully Modular ATX,https://pcpartpicker.com/product/fKHqqs/be-quiet-pure-power-12-m-1000-w-80-gold-certified-fully-modular-atx-power-supply-bn506,2,0,Black,2,80+ Gold,No,,160 mm,be quiet!,Full,0,1,4,0,0,BN506; BN717; BN345,6,ATX,1000 W,
