component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Interface,Length,Manufacturer,Memory,Memory_Type,Part__,SLI_CrossFire,TDP,Total_Slot_Width,Frame_Sync_Support,SLI_CrossFire_Support,Cooling_Type
Asrock Challenger D Oc Radeon Rx 6600 Xt 8 Gb,https://pcpartpicker.com/product/DgFbt6/asrock-radeon-rx-6600-xt-8-gb-challenger-d-oc-video-card-rx6600xt-cld-8go,0,2,Radeon RX 6600 XT,Black,2 Fans,1968,3,0,1 x PCIe 8-pin,FreeSync,1,PCIe x16,269,Asrock,8,GDDR6,RX6600XT CLD 8GO,nan,160,2,TRUE,FALSE,1 Fan
Sapphire Pure Radeon Rx 7800 Xt 16 Gb,https://pcpartpicker.com/product/nh26Mp/sapphire-pure-radeon-rx-7800-xt-16-gb-video-card-11330-03-20g,2475,2,Radeon RX 7800 XT,White,3 Fans,1295,2,0,1 x PCIe 8-pin,FreeSync,2,PCIe x16,320,Sapphire,16,GDDR6,11330-03-20G,nan,270,3,TRUE,FALSE,1 Fan
Evga Xc Gaming Geforce Rtx 3060 Ti 8 Gb,https://pcpartpicker.com/product/ZdpmP6/evga-geforce-rtx-3060-ti-8-gb-xc-gaming-video-card-08g-p5-3663-kr,1710,2,GeForce RTX 3060 Ti,Black,2 Fans,1410,3,14000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,202,Evga,8,GDDR6,08G-P5-3663-KR,nan,200,2,TRUE,FALSE,1 Fan
Gigabyte Gaming Oc Geforce Rtx 3090 24 Gb,https://pcpartpicker.com/product/wrkgXL/gigabyte-geforce-rtx-3090-24-gb-gaming-oc-video-card-gv-n3090gaming-oc-24gd,1755,2,GeForce RTX 3090,Black / Gray,3 Fans,1395,3,19500,1 x PCIe 8-pin,G-Sync,2,PCIe x16,320,Gigabyte,24,GDDR6X,GV-N3090GAMING OC-24GD,2-way SLI Capable,350,3,TRUE,TRUE,1 Fan
Sapphire Pulse Radeon Rx 570 8 Gb,https://pcpartpicker.com/product/89wkcf/sapphire-radeon-rx-570-8-gb-pulse-video-card-11266-66-20g,1284,2,Radeon RX 570,Black / Silver,2 Fans,1168,2,7000,1 x PCIe 8-pin,FreeSync,2,PCIe x16,230,Sapphire,8,GDDR5,11266-66-20G,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,150,2,TRUE,TRUE,1 Fan
Evga Xc Ultra Gaming Geforce Rtx 2080 8 Gb,https://pcpartpicker.com/product/r8smP6/evga-geforce-rtx-2080-8gb-xc-ultra-gaming-video-card-08g-p4-2183-kr,1815,3,GeForce RTX 2080,Black / Clear,2 Fans,1515,3,14000,1 x PCIe 8-pin + 1 x PCIe 6-pin,G-Sync,1,PCIe x16,270,Evga,8,GDDR6,08G-P4-2183-KR,2-way SLI Capable,215,3,TRUE,TRUE,1 Fan
Msi Gaming X Radeon Rx 6600 Xt 8 Gb,https://pcpartpicker.com/product/KhvdnQ/msi-radeon-rx-6600-xt-8-gb-gaming-x-video-card-rx6600xt-gaming-x-8g,2607,2,Radeon RX 6600 XT,Black / Silver,2 Fans,1968,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,277,Msi,8,GDDR6,RX6600XT GAMING X 8G,nan,160,3,TRUE,FALSE,1 Fan
Evga Ftw3 Ultra Gaming Geforce Rtx 3080 10Gb 10 Gb,https://pcpartpicker.com/product/dKrYcf/evga-geforce-rtx-3080-10-gb-ftw3-ultra-gaming-video-card-10g-p5-3897-kr,1800,2,GeForce RTX 3080 10GB,Black,3 Fans,1440,3,19000,1 x PCIe 8-pin,G-Sync,1,PCIe x16,300,Evga,10,GDDR6X,10G-P5-3897-KR,nan,320,3,TRUE,FALSE,1 Fan
Powercolor Red Devil Radeon Rx 6700 Xt 12 Gb,https://pcpartpicker.com/product/2kJgXL/powercolor-radeon-rx-6700-xt-12-gb-red-devil-video-card-axrx-6700xt-12gbd6-3dheoc,2622,2,Radeon RX 6700 XT,Black,3 Fans,2321,3,16000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,320,Powercolor,12,GDDR6,AXRX 6700XT 12GBD6-3DHE/OC,nan,230,3,TRUE,FALSE,1 Fan
Asrock Phantom Gaming D Oc Radeon Rx 6500 Xt 4 Gb,https://pcpartpicker.com/product/dmvdnQ/asrock-radeon-rx-6500-xt-4-gb-phantom-gaming-d-oc-video-card-rx6500xt-pgd-4go,2820,2,Radeon RX 6500 XT,Black,2 Fans,2365,1,18000,1 x PCIe 8-pin,FreeSync,1,PCIe x16,240,Asrock,4,GDDR6,RX6500XT PGD 4GO,nan,107,2,TRUE,FALSE,1 Fan
